horizon,target,n_cal,n_blind,n_live,tau_90,cov_pre_90,cov_post_90,width_pre_90,width_post_90,tau_50,cov_pre_50,cov_post_50,width_pre_50,width_post_50
21,maxdd,5284,1313,21,0.03398032540432362,0.8156892612338157,0.9383092155369384,0.08274314900725346,0.1507037998159007,0.008286216381012918,0.42955064737242954,0.6161462300076161,0.034263404518649204,0.05083583728067504
63,maxdd,5284,1271,63,0.09850627770292081,0.6451612903225806,0.963808025177026,0.10908059550174304,0.3060931509075846,0.025055776479519426,0.3918174665617624,0.6034618410700237,0.05371203418917224,0.10382358714821109
126,maxdd,5284,1208,126,0.21168586636519865,0.7922185430463576,1.0,0.19141310709218115,0.6147848398225784,0.043059083535762196,0.4304635761589404,0.7160596026490066,0.08411694373353357,0.17023511080505796
252,maxdd,5284,1082,252,0.27231387157540277,0.7393715341959335,1.0,0.19801240460872918,0.7426401477595347,0.08731814387893283,0.09242144177449169,0.6441774491682071,0.045795556092861886,0.22043184385072756
21,ret,5284,1313,21,0.03992263312634367,0.6907844630616908,0.9314546839299315,0.11403265360674719,0.19387791985943453,0.008472574266343213,0.33206397562833206,0.4546839299314547,0.052123066313507514,0.06906821484619394
63,ret,5284,1271,63,0.11821906393857826,0.6726986624704957,0.9795436664044059,0.1859464216744728,0.4223845495516293,0.03086432743989867,0.3076317859952793,0.5334382376081825,0.08565249129574715,0.1473811461755445
126,ret,5284,1208,126,0.22564297417076085,0.6672185430463576,0.9718543046357616,0.23632421389253117,0.6876101622340529,0.04776340304588816,0.3021523178807947,0.5852649006622517,0.1039888535944075,0.19951565968618382
252,ret,5284,1082,252,0.3774151009610418,0.5277264325323475,1.0,0.3593011134470182,1.114131315369102,0.09486299197782233,0.16266173752310537,0.3539741219963031,0.1301442113985443,0.3198701953541889
